所管,組織,科目名,元額_億円,フリードマン根拠,残存割合,残す額_億円,削減額_億円,措置,理由
裁判所,裁判所,検察審査費,3,④裁定・⑤契約履行強制,100%,3,0,維持,④⑤裁定・契約履行強制は政府の核心機能。
裁判所,裁判所,裁判費,329,④裁定・⑤契約履行強制,100%,329,0,維持,④⑤裁定・契約履行強制は政府の核心機能。
裁判所,裁判所,裁判所施設費,120,④裁定・⑤契約履行強制,100%,120,0,維持,④⑤裁定・契約履行強制は政府の核心機能。
裁判所,裁判所,裁判所予備経費,0,④裁定・⑤契約履行強制,100%,0,0,維持,④⑤裁定・契約履行強制は政府の核心機能。
会計検査院,会計検査院,会計検査院,169,①法秩序維持,80%,135,34,維持（縮小）,①政府資金の適正使用監視は政府縮小後も重要。ただし対象縮小で規模も縮小。
内閣,内閣官房,内閣官房共通費,489,①法秩序維持,50%,244,245,縮小,政府縮小に伴い内閣機能も縮小。①行政統括の最小限のみ。
内閣,内閣官房,内閣官房施設費,24,①法秩序維持,50%,12,12,縮小,政府縮小に伴い内閣機能も縮小。①行政統括の最小限のみ。
内閣,内閣官房,情報収集衛星業務費,608,①法秩序維持,100%,608,0,維持,①安全保障のための情報収集衛星。
内閣,内閣官房,情報収集衛星施設費,14,①法秩序維持,100%,14,0,維持,①安全保障のための情報収集衛星。
内閣,内閣法制局,内閣法制局,12,①法秩序維持,50%,6,6,縮小,政府縮小に伴い内閣機能も縮小。①行政統括の最小限のみ。
内閣,人事院,人事院,95,①法秩序維持,50%,48,47,縮小,政府縮小に伴い内閣機能も縮小。①行政統括の最小限のみ。
内閣府,内閣本府,内閣本府共通費,297,該当なし,10%,30,267,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,内閣本府施設費,100,該当なし,10%,10,90,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,公文書等管理政策費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,独立行政法人国立公文書館運営費,28,該当なし,10%,3,25,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,政府広報費,79,該当なし,10%,8,71,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,アイヌ政策推進費,20,該当なし,10%,2,18,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,遺棄化学兵器廃棄処理事業費,442,⑤契約履行強制,100%,442,0,維持（時限的）,⑤条約義務（化学兵器禁止条約）に基づく廃棄処理。
内閣府,内閣本府,経済財政政策費,9,該当なし,10%,1,8,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,地方創生支援費,1051,該当なし,0%,0,1051,廃止,地方創生・特区政策はフリードマン否定の産業政策。市場による地域選択が効率的。
内閣府,内閣本府,地方創生基盤整備事業推進費,558,該当なし,0%,0,558,廃止,地方創生・特区政策はフリードマン否定の産業政策。市場による地域選択が効率的。
内閣府,内閣本府,防災政策費,126,⑨外部効果克服,70%,88,38,縮小,⑨広域災害は外部効果。国の防災調整機能は維持。補助事業は廃止。
内閣府,内閣本府,事前防災対策総合推進費,17,該当なし,10%,2,15,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,電源開発促進税財源原子力安全規制対策費エネルギー対策特別会計へ繰入,97,該当なし,10%,10,87,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,沖縄政策費,453,該当なし,0%,0,453,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,内閣本府,沖縄振興交付金事業推進費,736,該当なし,0%,0,736,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,内閣本府,沖縄振興特定事業推進費,95,該当なし,0%,0,95,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,内閣本府,沖縄北部連携促進特別振興事業費,50,該当なし,0%,0,50,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,内閣本府,沖縄振興推進調査費,0,該当なし,0%,0,0,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,内閣本府,沖縄教育振興事業費,30,該当なし,0%,0,30,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,内閣本府,沖縄保健衛生諸費,0,該当なし,0%,0,0,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,内閣本府,沖縄開発事業費,1027,該当なし,0%,0,1027,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,内閣本府,沖縄北部連携促進特別振興対策特定開発事業推進費,26,該当なし,0%,0,26,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,内閣本府,共生・共助政策費,20,該当なし,10%,2,18,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,孤独・孤立対策推進費,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,就職氷河期世代等支援推進費,0,該当なし,10%,0,0,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,重要土地等調査費,6,該当なし,10%,1,5,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,経済安全保障確保推進費,7,該当なし,10%,1,6,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,工業所有権事務費特許特別会計へ繰入,0,該当なし,10%,0,0,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,栄典行政費,30,該当なし,10%,3,27,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,男女共同参画社会形成促進費,14,該当なし,10%,1,13,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,独立行政法人男女共同参画機構運営費,7,該当なし,10%,1,6,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,食品安全政策費,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,公益法人制度適正運営推進費,0,該当なし,10%,0,0,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,経済社会総合研究所,19,該当なし,10%,2,17,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,迎賓施設運営費,23,該当なし,10%,2,21,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,日本学術会議運営費,7,該当なし,10%,1,6,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,内閣本府,航空機燃料税財源沖縄空港整備事業費自動車安全特別会計へ繰入,17,該当なし,0%,0,17,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,地方創生推進事務局,地方創生推進事務局,18,該当なし,0%,0,18,廃止,地方創生・特区政策はフリードマン否定の産業政策。市場による地域選択が効率的。
内閣府,地方創生推進事務局,総合特区推進調整費,0,該当なし,10%,0,0,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,地方創生推進事務局,地方創生推進費,5,該当なし,0%,0,5,廃止,地方創生・特区政策はフリードマン否定の産業政策。市場による地域選択が効率的。
内閣府,地方創生推進事務局,特定地域づくり事業推進費,6,該当なし,10%,1,5,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,知的財産戦略推進事務局,知的財産戦略推進事務局,2,該当なし,10%,0,2,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,科学技術・イノベーション推進事務局,科学技術・イノベーション推進事務局,34,該当なし,10%,3,31,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,科学技術・イノベーション推進事務局,科学技術イノベーション創造推進費,594,⑨外部効果克服,40%,238,356,大幅縮小,⑨基礎研究の外部効果あり。ただしイノベーション補助・産業政策は廃止。
内閣府,健康・医療戦略推進事務局,健康・医療戦略推進事務局,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,宇宙開発戦略推進事務局,宇宙開発戦略推進事務局,184,①法秩序維持・⑨外部効果克服,50%,92,92,縮小,①安全保障・⑨衛星インフラの外部効果。商業宇宙は民間へ。
内閣府,宇宙開発戦略推進事務局,宇宙開発利用推進費,21,①法秩序維持・⑨外部効果克服,50%,10,11,縮小,①安全保障・⑨衛星インフラの外部効果。商業宇宙は民間へ。
内閣府,北方対策本部,北方対策本部,4,該当なし,10%,0,4,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,北方対策本部,独立行政法人北方領土問題対策協会運営費,13,該当なし,10%,1,12,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,総合海洋政策推進事務局,総合海洋政策推進事務局,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,総合海洋政策推進事務局,海洋開発等重点戦略推進費,6,該当なし,10%,1,5,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,総合海洋政策推進事務局,有人国境離島政策推進費,55,該当なし,10%,6,49,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,国際平和協力本部,国際平和協力本部,7,該当なし,10%,1,6,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,日本学術会議,日本学術会議,7,該当なし,10%,1,6,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,官民人材交流センター,官民人材交流センター,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,沖縄総合事務局,沖縄総合事務局,56,該当なし,0%,0,56,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,沖縄総合事務局,沖縄海岸事業調査諸費,0,該当なし,0%,0,0,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,沖縄総合事務局,沖縄治水事業工事諸費,21,該当なし,0%,0,21,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,沖縄総合事務局,沖縄道路整備事業工事諸費,14,該当なし,0%,0,14,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,沖縄総合事務局,沖縄港湾空港整備事業工事諸費,10,該当なし,0%,0,10,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,沖縄総合事務局,沖縄道路環境整備事業工事諸費,1,該当なし,0%,0,1,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,沖縄総合事務局,沖縄国営公園事業工事諸費,3,該当なし,0%,0,3,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,沖縄総合事務局,沖縄農業農村整備事業工事諸費,9,該当なし,0%,0,9,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,沖縄総合事務局,沖縄水産基盤整備事業調査諸費,0,該当なし,0%,0,0,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,沖縄総合事務局,沖縄災害復旧事業等工事諸費,0,該当なし,0%,0,0,廃止,特定地域への優遇補助。地方自治体と市場が担う。
内閣府,宮内庁,宮内庁,130,①法秩序維持,100%,130,0,維持,①皇室関連機能は国家の象徴的秩序。
内閣府,公正取引委員会,公正取引委員会,128,⑥競争促進,100%,128,0,維持,⑥競争促進（独禁法執行）はフリードマンが明示的に支持。
内閣府,公正取引委員会,公正取引委員会施設費,1,⑥競争促進,100%,1,0,維持,⑥競争促進（独禁法執行）はフリードマンが明示的に支持。
内閣府,警察庁,警察庁共通費,1029,①法秩序維持,100%,1029,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,警察庁,警察庁施設費,96,①法秩序維持,100%,96,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,警察庁,匿名・流動型犯罪グループ対策費,3,該当なし,10%,0,3,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,警察庁,犯罪被害者等支援推進費,20,該当なし,10%,2,18,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,警察庁,警察情報通信基盤費,195,①法秩序維持,100%,195,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,警察庁,生活安全警察費,1,①法秩序維持,100%,1,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,警察庁,刑事警察費,1,①法秩序維持,100%,1,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,警察庁,組織犯罪対策費,1,該当なし,10%,0,1,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,警察庁,交通警察費,166,①法秩序維持,100%,166,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,警察庁,交通反則者納金財源交通安全対策特別交付金等交付税及び譲与税配付金特別会計へ繰入,433,該当なし,10%,43,390,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,警察庁,警備警察費,108,①法秩序維持,100%,108,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,警察庁,皇宮警察本部,89,①法秩序維持,100%,89,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,警察庁,サイバー警察費,29,①法秩序維持,100%,29,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,警察庁,科学警察研究所,20,①法秩序維持,100%,20,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,警察庁,警察活動基盤整備費,689,①法秩序維持,100%,689,0,維持,①法と秩序の維持。警察機能は政府の根本的役割。
内閣府,個人情報保護委員会,個人情報保護委員会,36,該当なし,10%,4,32,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,カジノ管理委員会,カジノ管理委員会,39,該当なし,10%,4,35,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,サイバー通信情報監理委員会,サイバー通信情報監理委員会,14,該当なし,10%,1,13,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,金融庁,金融庁共通費,231,⑥競争促進・⑧技術的独占対抗,80%,185,46,維持（縮小）,⑥⑧金融市場の競争促進・自然独占規制。金融監督は市場機能に不可欠。
内閣府,金融庁,金融政策費,15,該当なし,10%,2,13,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,消費者庁,消費者庁共通費,56,該当なし,10%,6,50,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,消費者庁,消費者政策費,38,該当なし,10%,4,34,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,消費者庁,食品衛生基準政策費,18,該当なし,10%,2,16,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,消費者庁,独立行政法人国民生活センター運営費,32,該当なし,10%,3,29,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,こども家庭庁,こども家庭庁共通費,87,該当なし,10%,9,78,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,こども家庭庁,母子保健衛生対策費,100,該当なし,10%,10,90,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,こども家庭庁,保育対策費,669,該当なし,0%,0,669,廃止（市場へ）,保育は民間市場で供給可能。補助廃止により市場価格が適正化。
内閣府,こども家庭庁,児童手当等子ども・子育て支援特別会計へ繰入,26078,該当なし,0%,0,26078,廃止,育児は親の責任。児童手当はNITが代替（低所得家庭への給付はNITに含める）。
内閣府,こども家庭庁,こども安全対策費,40,該当なし,10%,4,36,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,こども家庭庁,児童虐待防止等対策費,1883,①法秩序維持・⑩責任能力なき者保護,80%,1506,377,維持（縮小）,①②子供の身体・財産権保護は政府機能。虐待介入は正当。
内閣府,こども家庭庁,国立児童自立支援施設,11,該当なし,10%,1,10,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,こども家庭庁,国立児童自立支援施設整備費,0,該当なし,10%,0,0,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,こども家庭庁,母子家庭等対策費,1747,⑩責任能力なき者保護,50%,874,873,縮小,⑩稼得能力が限られる母子家庭の最低限支援。NIT統合後は縮小。
内閣府,こども家庭庁,障害児支援等対策費,5202,⑩責任能力なき者保護,70%,3641,1561,縮小（重度障害児のみ）,⑩責任能力なき重度障害児への保護は正当機能。
内閣府,こども家庭庁,こども政策推進費,110,該当なし,10%,11,99,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,こども家庭庁,児童福祉施設等整備費,301,該当なし,10%,30,271,廃止,フリードマン範囲外の政策調整・補助事業は廃止。
内閣府,こども家庭庁,大学等修学支援費,6567,該当なし,0%,0,6567,廃止,高等教育への補助はフリードマン否定。貸付（返済義務あり）に移行。
デジタル庁,デジタル庁,デジタル庁共通費,193,該当なし,10%,19,174,廃止（民間移行）,政府IT機能は民間調達。デジタル庁は廃止・最小行政システム管理のみ。
デジタル庁,デジタル庁,デジタル社会形成推進費,14,該当なし,10%,1,13,廃止（民間移行）,政府IT機能は民間調達。デジタル庁は廃止・最小行政システム管理のみ。
デジタル庁,デジタル庁,情報通信技術調達等適正・効率化推進費,4990,該当なし,0%,0,4990,廃止,IT調達・行政DXは政府縮小後は民間に任せる。最小必要な行政DBのみ維持。
防災庁,防災庁,防災庁,24,⑨外部効果克服,60%,14,10,縮小,⑨広域災害対応の外部効果。国の調整機能は維持、地方・民間への補助は廃止。
総務省,総務本省,総務本省共通費,449,①法秩序維持,30%,135,314,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,総務本省施設費,11,①法秩序維持,30%,3,8,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,行政管理実施費,1,①法秩序維持,30%,0,1,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,行政評価等実施費,2,①法秩序維持,30%,1,1,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,地方行政制度整備費,4,①法秩序維持,30%,1,3,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,地域振興費,21,①法秩序維持,30%,6,15,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,地方財政制度整備費,1,①法秩序維持,30%,0,1,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,地方交付税交付金,200622,該当なし,30%,60187,140435,大幅削減,地方政府も同様の役割限定改革を前提。地方歳出半減後の交付税相当分のみ。
総務省,総務本省,地方特例交付金,8156,該当なし,30%,2447,5709,大幅削減,同上。地方税減収補填目的だが、地方改革後は不要。
総務省,総務本省,地方税制度整備費,1,①法秩序維持,30%,0,1,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,選挙制度等整備費,2,①法秩序維持,30%,1,1,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,電子政府・電子自治体推進費,305,①法秩序維持,30%,92,213,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,情報通信技術研究開発推進費,98,①法秩序維持,30%,29,69,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,国立研究開発法人情報通信研究機構運営費,301,①法秩序維持,30%,90,211,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,国立研究開発法人情報通信研究機構施設整備費,3,①法秩序維持,30%,1,2,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,情報通信技術高度利活用推進費,13,①法秩序維持,30%,4,9,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,情報通信技術利用環境整備費,57,①法秩序維持,30%,17,40,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,電波利用料財源電波監視等実施費,709,⑧技術的独占対抗,80%,567,142,維持（縮小）,⑧電波は自然独占的資源。割り当て・監視は政府機能だが補助は不要。
総務省,総務本省,特定高周波数無線局開設価額競争落札金財源特定高周波数対策費,4,①法秩序維持,30%,1,3,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,情報通信国際戦略推進費,17,①法秩序維持,30%,5,12,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,郵政行政推進費,12,①法秩序維持,30%,4,8,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,一般戦災死没者追悼等事業費,5,①法秩序維持,30%,2,3,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,恩給費,432,⑤契約履行強制,100%,432,0,維持（時限的）,⑤政府との契約（旧軍人・旧公務員への恩給）は履行義務あり。受給者減少で漸減。
総務省,総務本省,統計調査費,348,①法秩序維持・⑨外部効果克服,60%,209,139,縮小,政府統計は公共財（市場が過少供給）として⑨正当化。ただし民間統計と重複部分は廃止。
総務省,総務本省,独立行政法人統計センター運営費,107,①法秩序維持・⑨外部効果克服,60%,64,43,縮小,政府統計は公共財（市場が過少供給）として⑨正当化。ただし民間統計と重複部分は廃止。
総務省,総務本省,政党助成費,316,該当なし,0%,0,316,廃止,政党への公費助成はフリードマン範囲外。政治活動は自力で資金調達。
総務省,総務本省,国有提供施設等所在市町村助成交付金,307,①法秩序維持,30%,92,215,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総務本省,施設等所在市町村調整交付金,78,①法秩序維持,30%,23,55,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,管区行政評価局,管区行政評価局共通費,68,①法秩序維持,30%,20,48,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,管区行政評価局,行政評価等実施費,8,①法秩序維持,30%,2,6,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総合通信局,総合通信局共通費,82,①法秩序維持,30%,25,57,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総合通信局,情報通信技術高度利活用等推進費,0,①法秩序維持,30%,0,0,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,総合通信局,電波利用料財源電波監視等実施費,36,⑧技術的独占対抗,80%,29,7,維持（縮小）,⑧電波は自然独占的資源。割り当て・監視は政府機能だが補助は不要。
総務省,公害等調整委員会,公害等調整委員会,6,①法秩序維持,30%,2,4,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,消防庁,消防庁共通費,24,①法秩序維持,30%,7,17,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
総務省,消防庁,消防防災体制等整備費,96,①法秩序維持,30%,29,67,縮小,地方行財政・行政評価等はフリードマン範囲外。①行政管理の最小限のみ。
法務省,法務本省,法務本省共通費,1346,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,1346,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,基本法制整備費,1,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,1,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,司法制度改革推進費,180,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,180,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,日本司法支援センター運営費,165,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,165,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,再犯防止等企画調整推進費,0,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,0,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,検察企画調整費,1,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,1,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,矯正企画調整費,2,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,2,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,更生保護企画調整推進費,1,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,1,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,債権管理回収業審査監督費,0,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,0,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,人権擁護推進費,11,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,11,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,訟務費,17,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,17,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,法務省施設費,198,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,198,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務本省,法務行政情報化推進費,4,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,4,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
法務省,法務総合研究所,法務総合研究所共通費,19,①法秩序維持・②財産権規定・④裁定・⑤契約履行強制,100%,19,0,維持,①②④⑤法務・検察・矯正・登記は政府の核心機能。
