所管,組織,項名,目名,元額_億円,フリードマン根拠,残存割合,残す額_億円,削減額_億円,措置,理由
国会,衆議院,衆議院,各所修繕,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,国政調査活動費,4,③ルール修正・④裁定,50%,2,2,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,公共施設等維持管理運営費,40,③ルール修正・④裁定,50%,20,20,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,立法事務費,36,③ルール修正・④裁定,50%,18,18,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,国家公務員共済組合負担金,24,③ルール修正・④裁定,50%,12,12,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,基礎年金等国家公務員共済組合負担金,6,③ルール修正・④裁定,50%,3,3,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,国有資産所在市町村交付金,6,③ルール修正・④裁定,50%,3,3,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,列国議会同盟分担金,2,③ルール修正・④裁定,50%,1,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院,交際費,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院施設費,施設施工庁費,2,③ルール修正・④裁定,50%,1,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院施設費,施設整備費,13,③ルール修正・④裁定,50%,6,7,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,衆議院,衆議院施設費,不動産購入費,7,③ルール修正・④裁定,50%,4,3,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,議員歳費,55,③ルール修正・④裁定,50%,28,27,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,職員基本給,69,③ルール修正・④裁定,50%,34,35,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,職員諸手当,38,③ルール修正・④裁定,50%,19,19,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,超過勤務手当,10,③ルール修正・④裁定,50%,5,5,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,議員秘書手当,75,③ルール修正・④裁定,50%,38,37,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,非常勤職員手当,3,③ルール修正・④裁定,50%,2,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,休職者給与,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,短時間勤務職員給与,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,退職手当,13,③ルール修正・④裁定,50%,6,7,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,議員秘書退職手当,2,③ルール修正・④裁定,50%,1,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,児童手当,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,議員旅費,2,③ルール修正・④裁定,50%,1,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,議員調査研究広報滞在費,30,③ルール修正・④裁定,50%,15,15,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,職員旅費,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,庁費,6,③ルール修正・④裁定,50%,3,3,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,情報処理業務庁費,13,③ルール修正・④裁定,50%,6,7,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,国会運営事務処理等庁費,32,③ルール修正・④裁定,50%,16,16,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,議員特殊乗車券等購入費,6,③ルール修正・④裁定,50%,3,3,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,議案類印刷費,2,③ルール修正・④裁定,50%,1,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,招へい外国人滞在費,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,各所修繕,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,国政調査活動費,2,③ルール修正・④裁定,50%,1,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,公共施設等維持管理運営費,21,③ルール修正・④裁定,50%,10,11,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,立法事務費,19,③ルール修正・④裁定,50%,10,9,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,国家公務員共済組合負担金,18,③ルール修正・④裁定,50%,9,9,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,基礎年金等国家公務員共済組合負担金,4,③ルール修正・④裁定,50%,2,2,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院,国有資産所在市町村交付金,5,③ルール修正・④裁定,50%,2,3,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院施設費,施設施工庁費,2,③ルール修正・④裁定,50%,1,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,参議院,参議院施設費,施設整備費,9,③ルール修正・④裁定,50%,4,5,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,職員基本給,51,③ルール修正・④裁定,50%,26,25,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,職員諸手当,29,③ルール修正・④裁定,50%,14,15,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,超過勤務手当,4,③ルール修正・④裁定,50%,2,2,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,非常勤職員手当,3,③ルール修正・④裁定,50%,2,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,短時間勤務職員給与,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,退職手当,6,③ルール修正・④裁定,50%,3,3,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,職員旅費,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,庁費,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,国立国会図書館業務庁費,44,③ルール修正・④裁定,50%,22,22,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,図書館資料購入費,7,③ルール修正・④裁定,50%,4,3,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,立法資料購入費,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,科学技術関係資料費,11,③ルール修正・④裁定,50%,6,5,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,特殊文書関係資料整備費,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,電子計算機等借料,21,③ルール修正・④裁定,50%,10,11,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,各所修繕,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,国家公務員共済組合負担金,13,③ルール修正・④裁定,50%,6,7,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,基礎年金等国家公務員共済組合負担金,3,③ルール修正・④裁定,50%,2,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館,納入出版物代償金,3,③ルール修正・④裁定,50%,2,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館施設費,施設施工庁費,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,国立国会図書館,国立国会図書館施設費,施設整備費,7,③ルール修正・④裁定,50%,4,3,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,裁判官訴追委員会,裁判官訴追委員会,職員基本給,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
国会,裁判官弾劾裁判所,裁判官弾劾裁判所,職員基本給,1,③ルール修正・④裁定,50%,0,1,縮小,③④立法・裁定は必須。議員定数削減で縮小
裁判所,裁判所,最高裁判所,職員基本給,62,④裁定・⑤契約履行強制,100%,62,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,職員諸手当,35,④裁定・⑤契約履行強制,100%,35,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,超過勤務手当,8,④裁定・⑤契約履行強制,100%,8,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,非常勤職員手当,1,④裁定・⑤契約履行強制,100%,1,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,休職者給与,9,④裁定・⑤契約履行強制,100%,9,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,公務災害補償費,1,④裁定・⑤契約履行強制,100%,1,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,退職手当,173,④裁定・⑤契約履行強制,100%,173,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,児童手当,13,④裁定・⑤契約履行強制,100%,13,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,諸謝金,2,④裁定・⑤契約履行強制,100%,2,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,修習給付金,34,④裁定・⑤契約履行強制,100%,34,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,職員旅費,6,④裁定・⑤契約履行強制,100%,6,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,外国留学旅費,1,④裁定・⑤契約履行強制,100%,1,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,赴任旅費,6,④裁定・⑤契約履行強制,100%,6,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,司法修習生旅費,1,④裁定・⑤契約履行強制,100%,1,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,庁費,10,④裁定・⑤契約履行強制,100%,10,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,情報処理業務庁費,56,④裁定・⑤契約履行強制,100%,56,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,研修費,6,④裁定・⑤契約履行強制,100%,6,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,裁判資料整備費,4,④裁定・⑤契約履行強制,100%,4,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,各所修繕,14,④裁定・⑤契約履行強制,100%,14,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,司法修習生研修委託費,1,④裁定・⑤契約履行強制,100%,1,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,国家公務員共済組合負担金,319,④裁定・⑤契約履行強制,100%,319,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,基礎年金等国家公務員共済組合負担金,82,④裁定・⑤契約履行強制,100%,82,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,育児休業手当金等国家公務員共済組合負担金,2,④裁定・⑤契約履行強制,100%,2,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,国有資産所在市町村交付金,2,④裁定・⑤契約履行強制,100%,2,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,最高裁判所,修習資金貸与金,13,④裁定・⑤契約履行強制,100%,13,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,職員基本給,1308,④裁定・⑤契約履行強制,100%,1308,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,職員諸手当,667,④裁定・⑤契約履行強制,100%,667,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,超過勤務手当,36,④裁定・⑤契約履行強制,100%,36,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,委員手当,67,④裁定・⑤契約履行強制,100%,67,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,非常勤職員手当,5,④裁定・⑤契約履行強制,100%,5,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,短時間勤務職員給与,8,④裁定・⑤契約履行強制,100%,8,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,職員旅費,1,④裁定・⑤契約履行強制,100%,1,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,委員等旅費,4,④裁定・⑤契約履行強制,100%,4,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,庁費,63,④裁定・⑤契約履行強制,100%,63,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,情報処理業務庁費,9,④裁定・⑤契約履行強制,100%,9,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,下級裁判所,法廷等器具整備費,10,④裁定・⑤契約履行強制,100%,10,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,検察審査費,検察審査員旅費,2,④裁定・⑤契約履行強制,100%,2,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判費,諸謝金,18,④裁定・⑤契約履行強制,100%,18,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判費,裁判旅費,1,④裁定・⑤契約履行強制,100%,1,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判費,委員等旅費,11,④裁定・⑤契約履行強制,100%,11,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判費,証人等旅費,2,④裁定・⑤契約履行強制,100%,2,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判費,裁判庁費,262,④裁定・⑤契約履行強制,100%,262,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判費,民事裁判発送料,20,④裁定・⑤契約履行強制,100%,20,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判費,刑事裁判等特別送達料,7,④裁定・⑤契約履行強制,100%,7,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判費,少年補導委託費,1,④裁定・⑤契約履行強制,100%,1,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判費,賠償償還及払戻金,3,④裁定・⑤契約履行強制,100%,3,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判費,刑事補償金,4,④裁定・⑤契約履行強制,100%,4,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判所施設費,施設施工旅費,1,④裁定・⑤契約履行強制,100%,1,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判所施設費,施設施工庁費,2,④裁定・⑤契約履行強制,100%,2,0,維持,④⑤裁定・契約履行強制は政府の核心機能
裁判所,裁判所,裁判所施設費,施設整備費,117,④裁定・⑤契約履行強制,100%,117,0,維持,④⑤裁定・契約履行強制は政府の核心機能
会計検査院,会計検査院,会計検査院,職員基本給,65,①法秩序維持,80%,52,13,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,職員諸手当,37,①法秩序維持,80%,30,7,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,超過勤務手当,9,①法秩序維持,80%,7,2,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,非常勤職員手当,1,①法秩序維持,80%,1,0,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,短時間勤務職員給与,1,①法秩序維持,80%,1,0,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,退職手当,7,①法秩序維持,80%,6,1,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,児童手当,1,①法秩序維持,80%,1,0,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,検査旅費,4,①法秩序維持,80%,3,1,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,庁費,2,①法秩序維持,80%,2,0,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,研修所庁費,1,①法秩序維持,80%,1,0,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,会計検査情報処理業務庁費,4,①法秩序維持,80%,3,1,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,会計検査活動費,2,①法秩序維持,80%,2,0,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,公共施設等維持管理運営費,8,①法秩序維持,80%,6,2,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,官民区分所有施設維持管理運営費,5,①法秩序維持,80%,4,1,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,国家公務員共済組合負担金,17,①法秩序維持,80%,14,3,維持（縮小）,①政府資金の適正使用監視
会計検査院,会計検査院,会計検査院,基礎年金等国家公務員共済組合負担金,4,①法秩序維持,80%,3,1,維持（縮小）,①政府資金の適正使用監視
内閣,内閣官房,内閣官房共通費,職員基本給,81,①法秩序維持,50%,40,41,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,職員諸手当,48,①法秩序維持,50%,24,24,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,超過勤務手当,18,①法秩序維持,50%,9,9,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,非常勤職員手当,6,①法秩序維持,50%,3,3,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,短時間勤務職員給与,3,①法秩序維持,50%,2,1,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,退職手当,10,①法秩序維持,50%,5,5,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,児童手当,1,①法秩序維持,50%,0,1,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,諸謝金,15,①法秩序維持,50%,8,7,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,報償費,15,①法秩序維持,50%,8,7,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,職員旅費,8,①法秩序維持,50%,4,4,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,安全保障業務旅費,1,①法秩序維持,50%,0,1,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,委員等旅費,1,①法秩序維持,50%,0,1,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,庁費,27,①法秩序維持,50%,14,13,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,情報処理業務庁費,128,①法秩序維持,50%,64,64,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,総理大臣官邸業務庁費,21,①法秩序維持,50%,10,11,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,拉致問題対策庁費,6,①法秩序維持,50%,3,3,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,サイバーセキュリティ研究開発等推進業務庁費,10,①法秩序維持,50%,5,5,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,電子計算機等借料,5,①法秩序維持,50%,2,3,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,土地建物借料,6,①法秩序維持,50%,3,3,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,拉致問題対策情報収集等活動費,6,①法秩序維持,50%,3,3,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,国家安全保障政策活動費,2,①法秩序維持,50%,1,1,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,国際テロ情報収集等活動費,4,①法秩序維持,50%,2,2,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,情報調査委託費,8,①法秩序維持,50%,4,4,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,サイバーセキュリティ研究開発推進委託費,10,①法秩序維持,50%,5,5,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,サイバーセキュリティ推進調整事務委託費,19,①法秩序維持,50%,10,9,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,国家公務員共済組合負担金,26,①法秩序維持,50%,13,13,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房共通費,基礎年金等国家公務員共済組合負担金,5,①法秩序維持,50%,2,3,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,内閣官房施設費,施設整備費,24,①法秩序維持,50%,12,12,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣官房,情報収集衛星業務費,諸謝金,1,①法秩序維持,100%,1,0,維持,①安全保障
内閣,内閣官房,情報収集衛星業務費,職員旅費,1,①法秩序維持,100%,1,0,維持,①安全保障
内閣,内閣官房,情報収集衛星業務費,情報収集衛星業務庁費,225,①法秩序維持,100%,225,0,維持,①安全保障
内閣,内閣官房,情報収集衛星業務費,通信専用料,9,①法秩序維持,100%,9,0,維持,①安全保障
内閣,内閣官房,情報収集衛星業務費,情報収集衛星システム開発等委託費,365,①法秩序維持,100%,365,0,維持,①安全保障
内閣,内閣官房,情報収集衛星業務費,情報収集衛星システム研究開発委託費,7,①法秩序維持,100%,7,0,維持,①安全保障
内閣,内閣官房,情報収集衛星施設費,施設施工庁費,1,①法秩序維持,100%,1,0,維持,①安全保障
内閣,内閣官房,情報収集衛星施設費,施設整備費,13,①法秩序維持,100%,13,0,維持,①安全保障
内閣,内閣法制局,内閣法制局,職員基本給,6,①法秩序維持,50%,3,3,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣法制局,内閣法制局,職員諸手当,3,①法秩序維持,50%,2,1,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣法制局,内閣法制局,超過勤務手当,1,①法秩序維持,50%,0,1,縮小,政府縮小に伴い内閣機能も縮小
内閣,内閣法制局,内閣法制局,庁費,1,①法秩序維持,50%,0,1,縮小,政府縮小に伴い内閣機能も縮小
