特別会計,勘定,款名,目名,元額_億円,除外,フリードマン根拠,残存割合,残す額_億円,措置,理由
地震再保険,,事務取扱費,諸謝金,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,職員旅費,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,赴任旅費,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,委員等旅費,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,庁費,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,情報処理業務庁費,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,事務取扱費,国家公務員共済組合負担金,0,False,[9],0.8,0,縮小,⑨管理費は縮小
地震再保険,,予備費,(予備費),0,False,[9],0.8,0,縮小,⑨管理費は縮小
国債整理基金,,国債整理支出,証書等製造費,1,False,[2],0.5,0,縮小,管理費
国債整理基金,,国債整理支出,国債事務取扱手数料,311,False,[2],0.8,248,縮小,管理費。効率化余地あり
国債整理基金,,国債整理支出,賠償償還及払戻金,10,False,[5],1.0,10,維持,⑤契約履行
国債整理基金,,国債整理支出,貨幣交換差減補填金,0,False,[7],1.0,0,維持,⑦貨幣制度管理
国債整理基金,,国債整理支出,売却及償還差額補填金,2490,False,"[2, 5]",1.0,2490,維持,既存債務の差額補填。契約義務
国債整理基金,,国債整理支出,債務償還費,2043632,False,"[2, 5]",0.1,204363,縮小,借換分(~90%)は実質コストゼロ。純粋元金償還分のみ
国債整理基金,,国債整理支出,利子及割引料,164598,False,"[2, 5]",1.0,164598,維持,真の利子コスト16.5兆円。契約履行義務
国債整理基金,,復興債整理支出,国債事務取扱手数料,0,False,"[2, 5]",0.1,0,縮小,未分類
国債整理基金,,復興債整理支出,株式売払手数料,0,False,"[2, 5]",0.1,0,縮小,未分類
国債整理基金,,復興債整理支出,売却及償還差額補填金,26,False,"[2, 5]",1.0,26,維持,差額補填
国債整理基金,,復興債整理支出,債務償還費,29540,False,"[2, 5]",0.1,2954,縮小,借換分除く純粋元金償還
国債整理基金,,復興債整理支出,利子及割引料,483,False,"[2, 5]",1.0,483,維持,復興債利子
国債整理基金,,脱炭素成長型経済構造移行債整理支出,国債事務取扱手数料,0,False,"[2, 5]",0.1,0,縮小,未分類
国債整理基金,,脱炭素成長型経済構造移行債整理支出,売却及償還差額補填金,28,False,"[2, 5]",0.1,2,縮小,未分類
国債整理基金,,脱炭素成長型経済構造移行債整理支出,債務償還費,6364,False,"[2, 5]",0.1,636,縮小,借換分除く
国債整理基金,,脱炭素成長型経済構造移行債整理支出,利子及割引料,795,False,"[2, 5]",1.0,795,維持,GX債利子
外国為替資金,,事務取扱費,職員基本給,2,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,職員諸手当,1,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,超過勤務手当,0,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,退職手当,0,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,児童手当,0,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,諸謝金,0,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,職員旅費,2,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,赴任旅費,0,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,委員等旅費,0,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,庁費,7,False,[7],0.4,2,縮小,管理費縮小
外国為替資金,,事務取扱費,情報処理業務庁費,36,False,[7],0.3,10,縮小,IT縮小
外国為替資金,,事務取扱費,国家公務員共済組合負担金,0,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,賠償償還及払戻金,0,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,事務取扱費,貨幣交換差減補填金,1,False,[7],0.4,0,縮小,管理費縮小
外国為替資金,,諸支出金,立替電信料,0,False,[7],0.5,0,縮小,縮小
外国為替資金,,諸支出金,手数料,196,False,[7],0.5,98,縮小,管理手数料
外国為替資金,,諸支出金,外国為替事務取扱手数料,1,False,[7],0.5,0,縮小,縮小
外国為替資金,,諸支出金,償還差額補填金,2200,False,[7],1.0,2200,維持,⑦契約上の差額補填義務
外国為替資金,,諸支出金,払戻金,0,False,[7],0.5,0,縮小,縮小
外国為替資金,,諸支出金,支払利子,21,False,[7],1.0,21,維持,既存契約上の利子支払い
外国為替資金,,融通証券事務取扱費一般会計へ繰入,一般会計へ繰入,0,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
外国為替資金,,国債整理基金特別会計へ繰入,国債整理基金特別会計へ繰入,14260,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
外国為替資金,,予備費,(予備費),3000,False,[7],0.3,900,縮小,⑦貨幣制度管理の予備費。縮小
財政投融資,財政融資資金勘定,財政融資資金へ繰入,財政融資資金へ繰入,130000,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
財政投融資,財政融資資金勘定,事務取扱費,職員基本給,16,False,[],0.3,4,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,職員諸手当,8,False,[],0.3,2,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,超過勤務手当,1,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,委員手当,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,非常勤職員手当,5,False,[],0.3,1,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,休職者給与,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,公務災害補償費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,退職手当,1,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,児童手当,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,諸謝金,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,職員旅費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,融資先調査及検査旅費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,赴任旅費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,委員等旅費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,庁費,2,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,情報処理業務庁費,25,False,[],0.3,7,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,通信専用料,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,電子計算機等借料,6,False,[],0.3,1,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,国家公務員共済組合負担金,5,False,[],0.3,1,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,賠償償還及払戻金,0,False,[5],1.0,0,維持,⑤返還義務
財政投融資,財政融資資金勘定,事務取扱費,貨幣交換差減補填金,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,一般会計へ繰入,0,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
財政投融資,財政融資資金勘定,諸支出金,運用手数料,0,False,[],0.0,0,廃止,廃止
財政投融資,財政融資資金勘定,諸支出金,売却及償還差額補填金,905,False,[5],1.0,905,維持,⑤既存契約上の補填義務
財政投融資,財政融資資金勘定,諸支出金,預託金利子,4572,False,[],0.0,0,廃止,財投廃止で預託金なし
財政投融資,財政融資資金勘定,諸支出金,支払利子,450,False,[],0.0,0,廃止,財投廃止で支払利子なし
財政投融資,財政融資資金勘定,公債等事務取扱費一般会計へ繰入,一般会計へ繰入,0,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
財政投融資,財政融資資金勘定,国債整理基金特別会計へ繰入,国債整理基金特別会計へ繰入,130759,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
財政投融資,財政融資資金勘定,予備費,(予備費),0,False,[],0.2,0,縮小,縮小
財政投融資,財政融資資金勘定,産業投資支出,出資金,5003,False,[],0.0,0,廃止,産業補助・出資廃止
財政投融資,財政融資資金勘定,事務取扱費,職員基本給,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,職員諸手当,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,超過勤務手当,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,児童手当,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,諸謝金,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,職員旅費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,委員等旅費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,庁費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,情報処理業務庁費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,国有財産管理処分庁費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,産業投資業務庁費,1,False,[],0.0,0,廃止,廃止
財政投融資,財政融資資金勘定,事務取扱費,国家公務員共済組合負担金,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,賠償償還及払戻金,0,False,[5],1.0,0,維持,⑤返還義務
財政投融資,財政融資資金勘定,事務取扱費,貨幣交換差減補填金,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,地方公共団体金融機構納付金収入交付税及び譲与税配付金特別会計へ繰入,交付税及び譲与税配付金特別会計へ繰入,2000,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
財政投融資,財政融資資金勘定,先端半導体・人工知能関連技術対策エネルギー対策特別会計へ繰入,エネルギー対策特別会計先端半導体・人工知能関連技術勘定へ繰入,578,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
財政投融資,財政融資資金勘定,国債整理基金特別会計へ繰入,国債整理基金特別会計へ繰入,0,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
財政投融資,財政融資資金勘定,予備費,(予備費),1,False,[],0.2,0,縮小,縮小
財政投融資,財政融資資金勘定,特定国有財産整備費,特定施設整備費,35,False,[2],0.5,17,半減,財産権保護の範囲内で最小限維持
財政投融資,財政融資資金勘定,事務取扱費,諸謝金,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,職員旅費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,委員等旅費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,庁費,5,False,[],0.3,1,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,情報処理業務庁費,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,土地建物借料,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,消費税,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,国家公務員共済組合負担金,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,国有資産所在市町村交付金,0,False,[],0.3,0,縮小,縮小
財政投融資,財政融資資金勘定,事務取扱費,賠償償還及払戻金,2,False,[5],1.0,2,維持,⑤返還義務
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,国家備蓄石油増強対策事業費,1066,False,[9],0.8,852,縮小,⑨エネルギー安全保障として維持
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,土地借料,0,False,[9],0.3,0,縮小,エネルギー安全保障範囲内で縮小
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,株式売払手数料,0,False,[9],0.3,0,縮小,エネルギー安全保障範囲内で縮小
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,石油製品需給適正化調査等委託費,20,False,[9],0.3,6,縮小,最小限の市場監視
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,石油天然ガス基礎調査等委託費,236,False,[9],0.5,118,縮小,⑨基礎調査は一部維持
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,国家備蓄石油管理等委託費,745,False,[9],0.8,596,縮小,⑨備蓄管理
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,産油国等連携強化促進事業費補助金,104,False,[],0.0,0,廃止,産業政策廃止
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,石油精製合理化対策事業費等補助金,3,False,[9],0.3,0,縮小,エネルギー安全保障範囲内で縮小
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,石油製品品質確保事業費補助金,11,False,[9],0.3,3,縮小,エネルギー安全保障範囲内で縮小
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,石油製品販売業構造改善対策事業費等補助金,109,False,[],0.0,0,廃止,産業補助廃止
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,大規模石油災害対応体制整備事業費補助金,7,False,[9],0.3,2,縮小,エネルギー安全保障範囲内で縮小
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,石油資源採掘対策事業費補助金,19,False,[9],0.3,5,縮小,エネルギー安全保障範囲内で縮小
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,石油貯蔵施設立地対策等交付金,51,False,[],0.0,0,廃止,地域補償廃止
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,国有資産所在市町村交付金,48,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,石油・石油ガス備蓄増強等利子補給金,64,False,[9],0.5,32,縮小,⑨備蓄のみ
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,石油備蓄事業補給金,260,False,[9],0.8,208,縮小,⑨備蓄補給
エネルギー対策,エネルギー需給勘定,燃料安定供給対策費,国際エネルギー機関等拠出金,5,False,[9],0.3,1,縮小,エネルギー安全保障範囲内で縮小
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,非化石エネルギー等導入促進対策調査等委託費,83,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,エネルギー使用合理化設備導入促進対策調査等委託費,174,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,温暖化対策調査等委託費,27,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,二酸化炭素排出抑制対策事業等委託費,343,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,非化石エネルギー等導入促進対策費補助金,340,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,エネルギー使用合理化設備導入促進等対策費補助金,201,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,温暖化対策促進事業費補助金,0,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,二酸化炭素排出抑制対策事業費等補助金,850,False,[],0.0,0,廃止,補助金廃止。炭素税で代替
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,二酸化炭素排出抑制対策事業費交付金,292,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,エネルギー使用合理化特定設備等資金利子補給金,0,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,国際再生可能エネルギー機関分担金,2,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,エネルギー需給構造高度化対策費,国際エネルギー機関等拠出金,28,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進対策費,諸謝金,0,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進対策費,職員旅費,0,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進対策費,委員等旅費,0,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進対策費,庁費,0,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進対策費,脱炭素成長型経済構造移行推進対策委託費,27,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進対策費,脱炭素成長型経済構造移行推進対策費補助金,4085,False,[],0.0,0,廃止,産業補助金廃止。炭素税で代替
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進対策費,脱炭素成長型経済構造移行推進対策費交付金,75,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進対策費,脱炭素成長型経済構造移行推進機構交付金,22,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,国立研究開発法人新エネルギー・産業技術総合開発機構運営費,国立研究開発法人新エネルギー・産業技術総合開発機構エネルギー需給勘定運営費交付金,891,False,[],0.0,0,廃止,NEDO廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進国立研究開発法人新エネルギー・産業技術総合開発機構運営費,国立研究開発法人新エネルギー・産業技術総合開発機構エネルギー需給勘定運営費交付金,121,False,[],0.0,0,廃止,NEDO廃止
エネルギー対策,エネルギー需給勘定,独立行政法人エネルギー・金属鉱物資源機構運営費,独立行政法人エネルギー・金属鉱物資源機構石油天然ガス等勘定運営費交付金,448,False,[],0.0,0,廃止,資源確保の国策投資廃止
エネルギー対策,エネルギー需給勘定,独立行政法人エネルギー・金属鉱物資源機構出資,独立行政法人エネルギー・金属鉱物資源機構出資金,428,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進機構出資,脱炭素成長型経済構造移行推進機構出資金,100,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,事務取扱費,職員基本給,2,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,職員諸手当,1,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,超過勤務手当,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,休職者給与,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,公務災害補償費,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,退職手当,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,児童手当,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,諸謝金,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,職員旅費,2,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,赴任旅費,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,委員等旅費,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,庁費,4,False,[],0.4,1,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,情報処理業務庁費,4,False,[],0.4,1,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,国有財産管理処分庁費,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,国有特許外国出願費,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,研究開発設備撤去費,0,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,消費税,28,False,[],0.5,14,縮小,消費税廃止後ゼロ（移行期維持）
エネルギー対策,エネルギー需給勘定,事務取扱費,国家公務員共済組合負担金,1,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,事務取扱費,貨幣交換差減補填金,2,False,[],0.4,0,縮小,管理費縮小
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進電源開発促進勘定へ繰入,電源開発促進勘定へ繰入,1420,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
エネルギー対策,エネルギー需給勘定,石油石炭税財源エネルギー需給構造高度化対策費先端半導体・人工知能関連技術勘定へ繰入,先端半導体・人工知能関連技術勘定へ繰入,66,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進先端半導体・人工知能関連技術勘定へ繰入,先端半導体・人工知能関連技術勘定へ繰入,3873,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
エネルギー対策,エネルギー需給勘定,諸支出金,賠償償還及払戻金,0,False,[5],1.0,0,維持,⑤返還義務
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進諸支出金,賠償償還及払戻金,0,False,[5],1.0,0,維持,⑤返還義務
エネルギー対策,エネルギー需給勘定,融通証券等事務取扱費一般会計へ繰入,一般会計へ繰入,0,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進公債事務取扱費一般会計へ繰入,一般会計へ繰入,0,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
エネルギー対策,エネルギー需給勘定,国債整理基金特別会計へ繰入,国債整理基金特別会計へ繰入,14919,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進国債整理基金特別会計へ繰入,国債整理基金特別会計へ繰入,758,True,—,0.0,0,除外（純計外）,特別会計間繰入。純計から除外
エネルギー対策,エネルギー需給勘定,予備費,(予備費),26,False,[],0.2,5,縮小,縮小
エネルギー対策,エネルギー需給勘定,電源立地対策費,電源立地等推進対策委託費,11,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,電源立地対策費,電源立地等推進対策補助金,88,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,電源立地対策費,原子力損害賠償・廃炉等支援機構交付金,470,False,[9],0.8,376,縮小,⑨廃炉・賠償は外部効果対応
エネルギー対策,エネルギー需給勘定,電源立地対策費,電源立地等推進対策交付金,290,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,電源立地対策費,電源立地地域対策交付金,877,False,[],0.0,0,廃止,地域補償廃止
エネルギー対策,エネルギー需給勘定,電源立地対策費,国際原子力機関等拠出金,7,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,電源利用対策費,放射性廃棄物処分基準調査等委託費,47,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,電源利用対策費,軽水炉等改良技術確証試験等委託費,42,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,電源利用対策費,原子力発電関連技術開発費等補助金,23,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,電源利用対策費,ウラン探鉱支援事業費等補助金,5,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,電源利用対策費,国際原子力機関等拠出金,3,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進対策費,諸謝金,0,False,[],0.0,0,廃止,廃止
エネルギー対策,エネルギー需給勘定,脱炭素成長型経済構造移行推進対策費,職員旅費,0,False,[],0.0,0,廃止,廃止
