所管,項名,目名,元額_億円,分類,残存率,残す額_億円,理由
国会,衆議院,非常勤職員手当,3,③,100%,3,衆議院に係る非常勤職員手当。立法機能（③）の遂行における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
国会,衆議院,休職者給与,1,③,100%,1,衆議院に係る休職者給与。立法機能（③）の遂行の遂行に伴う経費
国会,衆議院,短時間勤務職員給与,2,③,100%,2,衆議院に係る短時間勤務職員給与。立法機能（③）の遂行の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
国会,衆議院,退職手当,17,③,100%,17,衆議院に係る退職手当。立法機能（③）の遂行の執行を長期的に支える人材の雇用終了時の義務的給付（人件費按分：同項非人件費残存率100%）
国会,衆議院,議員秘書退職手当,4,③,100%,4,衆議院に係る議員秘書退職手当。立法機能（③）の遂行の執行を長期的に支える人材の雇用終了時の義務的給付（人件費按分：同項非人件費残存率100%）
国会,衆議院,児童手当,1,③,100%,1,衆議院に係る児童手当。立法機能（③）の遂行の執行職員に対する法律に基づく児童手当給付（人件費按分：同項非人件費残存率100%）
国会,衆議院,議員旅費,3,③,100%,3,衆議院に係る議員旅費。立法機能（③）の遂行に伴う現地視察・監督・会議出張費
国会,衆議院,議員調査研究広報滞在費,56,③,100%,56,衆議院に係る議員調査研究広報滞在費。立法機能（③）の遂行の遂行に伴う経費
国会,衆議院,職員旅費,1,③,100%,1,衆議院に係る職員旅費。立法機能（③）の遂行に伴う現地視察・監督・会議出張費
国会,衆議院,庁費,10,③,100%,10,衆議院に係る庁費。立法機能（③）の遂行の行政執行を支える事務所経費（消耗品・光熱・雑費等）
国会,衆議院,情報処理業務庁費,22,③,100%,22,衆議院に係る情報処理業務庁費。立法機能（③）の遂行に必要なデータ処理・業務システムの維持コスト
国会,衆議院,国会運営事務処理等庁費,40,③,100%,40,衆議院に係る国会運営事務処理等庁費。立法機能（③）の遂行の行政執行を支える事務所経費（消耗品・光熱・雑費等）
国会,衆議院,議員特殊乗車券等購入費,10,③,100%,10,衆議院に係る議員特殊乗車券等購入費。立法機能（③）の遂行の遂行に伴う経費
国会,衆議院,議案類印刷費,3,③,100%,3,衆議院に係る議案類印刷費。立法機能（③）の遂行の遂行に伴う経費
国会,衆議院,招へい外国人滞在費,1,③,100%,1,衆議院に係る招へい外国人滞在費。立法機能（③）の遂行の遂行に伴う経費
国会,衆議院,各所修繕,1,③,100%,1,衆議院に係る各所修繕。立法機能（③）の遂行を実施するための施設・設備の維持・補修コスト
国会,衆議院,国政調査活動費,4,③,100%,4,衆議院に係る国政調査活動費。立法機能（③）の遂行の遂行に伴う経費
国会,衆議院,公共施設等維持管理運営費,40,③,100%,40,衆議院に係る公共施設等維持管理運営費。立法機能（③）の遂行のために整備した施設の継続的維持・運営コスト
国会,衆議院,立法事務費,36,③,100%,36,衆議院に係る立法事務費。立法機能（③）の遂行の遂行に伴う経費
国会,衆議院,国家公務員共済組合負担金,24,③,100%,24,衆議院に係る国家公務員共済組合負担金（使用者負担）。立法機能（③）の遂行の執行職員に係る法定社会保険コスト（人件費按分：同項非人件費残存率100%）
国会,衆議院,基礎年金等国家公務員共済組合負担金,6,③,100%,6,衆議院に係る基礎年金等国家公務員共済組合負担金（使用者負担）。立法機能（③）の遂行の執行職員に係る国民年金相当部分の法定コスト（人件費按分：同項非人件費残存率100%）
国会,衆議院,国有資産所在市町村交付金,6,③,100%,6,衆議院に係る国有資産所在市町村交付金。立法機能（③）の遂行に使用する国有施設の代替的固定資産税相当額
国会,衆議院,列国議会同盟分担金,2,③,100%,2,衆議院に係る列国議会同盟分担金。立法機能（③）の遂行に関連する国際機関等への分担金・拠出金
国会,衆議院,交際費,1,③,100%,1,衆議院に係る交際費。立法機能（③）の遂行の遂行に伴う経費
国会,衆議院施設費,施設施工庁費,2,③,100%,2,衆議院施設費に係る施設施工庁費。衆議院施設の整備の拠点施設整備工事を管理するためのコスト
国会,衆議院施設費,施設整備費,13,③,100%,13,衆議院施設費に係る施設整備費。衆議院施設の整備の遂行に伴う経費
国会,衆議院施設費,不動産購入費,7,③,100%,7,衆議院施設費に係る不動産購入費。衆議院施設の整備の拠点施設として必要な土地・建物の購入コスト
国会,参議院,議員歳費,55,③,100%,55,参議院に係る議員歳費。立法機能（③）の遂行の遂行に伴う経費
国会,参議院,職員基本給,69,③,100%,69,参議院に係る職員基本給。立法機能（③）の遂行であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
国会,参議院,職員諸手当,38,③,100%,38,参議院に係る職員諸手当（扶養・通勤・地域等）。立法機能（③）の遂行の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
国会,参議院,超過勤務手当,10,③,100%,10,参議院に係る超過勤務手当。立法機能（③）の遂行の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
国会,参議院,議員秘書手当,75,③,100%,75,参議院に係る議員秘書手当。立法機能（③）の遂行の遂行に伴う経費
国会,参議院,非常勤職員手当,3,③,100%,3,参議院に係る非常勤職員手当。立法機能（③）の遂行における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
国会,参議院,休職者給与,1,③,100%,1,参議院に係る休職者給与。立法機能（③）の遂行の遂行に伴う経費
国会,参議院,短時間勤務職員給与,1,③,100%,1,参議院に係る短時間勤務職員給与。立法機能（③）の遂行の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
国会,参議院,退職手当,13,③,100%,13,参議院に係る退職手当。立法機能（③）の遂行の執行を長期的に支える人材の雇用終了時の義務的給付（人件費按分：同項非人件費残存率100%）
国会,参議院,議員秘書退職手当,2,③,100%,2,参議院に係る議員秘書退職手当。立法機能（③）の遂行の執行を長期的に支える人材の雇用終了時の義務的給付（人件費按分：同項非人件費残存率100%）
国会,参議院,児童手当,1,③,100%,1,参議院に係る児童手当。立法機能（③）の遂行の執行職員に対する法律に基づく児童手当給付（人件費按分：同項非人件費残存率100%）
国会,参議院,議員旅費,2,③,100%,2,参議院に係る議員旅費。立法機能（③）の遂行に伴う現地視察・監督・会議出張費
国会,参議院,議員調査研究広報滞在費,30,③,100%,30,参議院に係る議員調査研究広報滞在費。立法機能（③）の遂行の遂行に伴う経費
国会,参議院,職員旅費,1,③,100%,1,参議院に係る職員旅費。立法機能（③）の遂行に伴う現地視察・監督・会議出張費
国会,参議院,庁費,6,③,100%,6,参議院に係る庁費。立法機能（③）の遂行の行政執行を支える事務所経費（消耗品・光熱・雑費等）
国会,参議院,情報処理業務庁費,13,③,100%,13,参議院に係る情報処理業務庁費。立法機能（③）の遂行に必要なデータ処理・業務システムの維持コスト
国会,参議院,国会運営事務処理等庁費,32,③,100%,32,参議院に係る国会運営事務処理等庁費。立法機能（③）の遂行の行政執行を支える事務所経費（消耗品・光熱・雑費等）
国会,参議院,議員特殊乗車券等購入費,6,③,100%,6,参議院に係る議員特殊乗車券等購入費。立法機能（③）の遂行の遂行に伴う経費
国会,参議院,議案類印刷費,2,③,100%,2,参議院に係る議案類印刷費。立法機能（③）の遂行の遂行に伴う経費
国会,参議院,招へい外国人滞在費,1,③,100%,1,参議院に係る招へい外国人滞在費。立法機能（③）の遂行の遂行に伴う経費
国会,参議院,各所修繕,1,③,100%,1,参議院に係る各所修繕。立法機能（③）の遂行を実施するための施設・設備の維持・補修コスト
国会,参議院,国政調査活動費,2,③,100%,2,参議院に係る国政調査活動費。立法機能（③）の遂行の遂行に伴う経費
国会,参議院,公共施設等維持管理運営費,21,③,100%,21,参議院に係る公共施設等維持管理運営費。立法機能（③）の遂行のために整備した施設の継続的維持・運営コスト
国会,参議院,立法事務費,19,③,100%,19,参議院に係る立法事務費。立法機能（③）の遂行の遂行に伴う経費
国会,参議院,国家公務員共済組合負担金,18,③,100%,18,参議院に係る国家公務員共済組合負担金（使用者負担）。立法機能（③）の遂行の執行職員に係る法定社会保険コスト（人件費按分：同項非人件費残存率100%）
国会,参議院,基礎年金等国家公務員共済組合負担金,4,③,100%,4,参議院に係る基礎年金等国家公務員共済組合負担金（使用者負担）。立法機能（③）の遂行の執行職員に係る国民年金相当部分の法定コスト（人件費按分：同項非人件費残存率100%）
国会,参議院,国有資産所在市町村交付金,5,③,100%,5,参議院に係る国有資産所在市町村交付金。立法機能（③）の遂行に使用する国有施設の代替的固定資産税相当額
国会,参議院施設費,施設施工庁費,2,③,100%,2,参議院施設費に係る施設施工庁費。参議院施設の整備の拠点施設整備工事を管理するためのコスト
国会,参議院施設費,施設整備費,9,③,100%,9,参議院施設費に係る施設整備費。参議院施設の整備の遂行に伴う経費
国会,国立国会図書館,職員基本給,51,③,100%,51,国立国会図書館に係る職員基本給。立法を支える知識基盤としての国会図書館業務であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
国会,国立国会図書館,職員諸手当,29,③,100%,29,国立国会図書館に係る職員諸手当（扶養・通勤・地域等）。立法を支える知識基盤としての国会図書館業務の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
国会,国立国会図書館,超過勤務手当,4,③,100%,4,国立国会図書館に係る超過勤務手当。立法を支える知識基盤としての国会図書館業務の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
国会,国立国会図書館,非常勤職員手当,3,③,100%,3,国立国会図書館に係る非常勤職員手当。立法を支える知識基盤としての国会図書館業務における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
国会,国立国会図書館,短時間勤務職員給与,1,③,100%,1,国立国会図書館に係る短時間勤務職員給与。立法を支える知識基盤としての国会図書館業務の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
国会,国立国会図書館,退職手当,6,③,100%,6,国立国会図書館に係る退職手当。立法を支える知識基盤としての国会図書館業務の執行を長期的に支える人材の雇用終了時の義務的給付（人件費按分：同項非人件費残存率100%）
国会,国立国会図書館,職員旅費,1,③,100%,1,国立国会図書館に係る職員旅費。立法を支える知識基盤としての国会図書館業務に伴う現地視察・監督・会議出張費
国会,国立国会図書館,庁費,1,③,100%,1,国立国会図書館に係る庁費。立法を支える知識基盤としての国会図書館業務の行政執行を支える事務所経費（消耗品・光熱・雑費等）
国会,国立国会図書館,国立国会図書館業務庁費,44,③,100%,44,国立国会図書館に係る国立国会図書館業務庁費。立法を支える知識基盤としての国会図書館業務の行政執行を支える事務所経費（消耗品・光熱・雑費等）
国会,国立国会図書館,図書館資料購入費,7,③,100%,7,国立国会図書館に係る図書館資料購入費。立法を支える知識基盤としての国会図書館業務の遂行に伴う経費
国会,国立国会図書館,立法資料購入費,1,③,100%,1,国立国会図書館に係る立法資料購入費。立法を支える知識基盤としての国会図書館業務の遂行に伴う経費
国会,国立国会図書館,科学技術関係資料費,11,③,100%,11,国立国会図書館に係る科学技術関係資料費。立法を支える知識基盤としての国会図書館業務の遂行に伴う経費
国会,国立国会図書館,特殊文書関係資料整備費,1,③,100%,1,国立国会図書館に係る特殊文書関係資料整備費。立法を支える知識基盤としての国会図書館業務の遂行に伴う経費
国会,国立国会図書館,電子計算機等借料,21,③,100%,21,国立国会図書館に係る電子計算機等借料。立法を支える知識基盤としての国会図書館業務に必要な情報処理機器の調達コスト
国会,国立国会図書館,各所修繕,1,③,100%,1,国立国会図書館に係る各所修繕。立法を支える知識基盤としての国会図書館業務を実施するための施設・設備の維持・補修コスト
国会,国立国会図書館,国家公務員共済組合負担金,13,③,100%,13,国立国会図書館に係る国家公務員共済組合負担金（使用者負担）。立法を支える知識基盤としての国会図書館業務の執行職員に係る法定社会保険コスト（人件費按分：同項非人件費残存率100%）
国会,国立国会図書館,基礎年金等国家公務員共済組合負担金,3,③,100%,3,国立国会図書館に係る基礎年金等国家公務員共済組合負担金（使用者負担）。立法を支える知識基盤としての国会図書館業務の執行職員に係る国民年金相当部分の法定コスト（人件費按分：同項非人件費残存率100%）
国会,国立国会図書館,納入出版物代償金,3,③,100%,3,国立国会図書館に係る納入出版物代償金。立法を支える知識基盤としての国会図書館業務の遂行に伴う経費
国会,国立国会図書館施設費,施設施工庁費,1,③,100%,1,国立国会図書館施設費に係る施設施工庁費。立法を支える知識基盤としての国会図書館業務の拠点施設整備工事を管理するためのコスト
国会,国立国会図書館施設費,施設整備費,7,③,100%,7,国立国会図書館施設費に係る施設整備費。立法を支える知識基盤としての国会図書館業務の遂行に伴う経費
国会,裁判官訴追委員会,職員基本給,1,③,100%,1,裁判官訴追委員会に係る職員基本給。立法機能（③）の遂行であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同省庁非人件費残存率100%）
国会,裁判官弾劾裁判所,職員基本給,1,③,100%,1,裁判官弾劾裁判所に係る職員基本給。立法機能（③）の遂行であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同省庁非人件費残存率100%）
裁判所,最高裁判所,職員基本給,62,①/②/⑤,100%,62,最高裁判所に係る職員基本給。司法（①②⑤）の遂行であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
裁判所,最高裁判所,職員諸手当,35,①/②/⑤,100%,35,最高裁判所に係る職員諸手当（扶養・通勤・地域等）。司法（①②⑤）の遂行の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
裁判所,最高裁判所,超過勤務手当,8,①/②/⑤,100%,8,最高裁判所に係る超過勤務手当。司法（①②⑤）の遂行の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
裁判所,最高裁判所,非常勤職員手当,1,①/②/⑤,100%,1,最高裁判所に係る非常勤職員手当。司法（①②⑤）の遂行における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
裁判所,最高裁判所,休職者給与,9,①/②/⑤,100%,9,最高裁判所に係る休職者給与。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,最高裁判所,公務災害補償費,1,①/②/⑤,100%,1,最高裁判所に係る公務災害補償費。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,最高裁判所,退職手当,173,①/②/⑤,100%,173,最高裁判所に係る退職手当。司法（①②⑤）の遂行の執行を長期的に支える人材の雇用終了時の義務的給付（人件費按分：同項非人件費残存率100%）
裁判所,最高裁判所,児童手当,13,①/②/⑤,100%,13,最高裁判所に係る児童手当。司法（①②⑤）の遂行の執行職員に対する法律に基づく児童手当給付（人件費按分：同項非人件費残存率100%）
裁判所,最高裁判所,諸謝金,2,①/②/⑤,100%,2,最高裁判所に係る諸謝金。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,最高裁判所,修習給付金,34,①/②/⑤,100%,34,最高裁判所に係る修習給付金。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,最高裁判所,職員旅費,6,①/②/⑤,100%,6,最高裁判所に係る職員旅費。司法（①②⑤）の遂行に伴う現地視察・監督・会議出張費
裁判所,最高裁判所,外国留学旅費,1,①/②/⑤,100%,1,最高裁判所に係る外国留学旅費。司法（①②⑤）の遂行に伴う現地視察・監督・会議出張費
裁判所,最高裁判所,赴任旅費,6,①/②/⑤,100%,6,最高裁判所に係る赴任旅費。司法（①②⑤）の遂行に伴う現地視察・監督・会議出張費
裁判所,最高裁判所,司法修習生旅費,1,①/②/⑤,100%,1,最高裁判所に係る司法修習生旅費。司法（①②⑤）の遂行に伴う現地視察・監督・会議出張費
裁判所,最高裁判所,庁費,10,①/②/⑤,100%,10,最高裁判所に係る庁費。司法（①②⑤）の遂行の行政執行を支える事務所経費（消耗品・光熱・雑費等）
裁判所,最高裁判所,情報処理業務庁費,56,①/②/⑤,100%,56,最高裁判所に係る情報処理業務庁費。司法（①②⑤）の遂行に必要なデータ処理・業務システムの維持コスト
裁判所,最高裁判所,研修費,6,①/②/⑤,100%,6,最高裁判所に係る研修費。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,最高裁判所,裁判資料整備費,4,①/②/⑤,100%,4,最高裁判所に係る裁判資料整備費。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,最高裁判所,各所修繕,14,①/②/⑤,100%,14,最高裁判所に係る各所修繕。司法（①②⑤）の遂行を実施するための施設・設備の維持・補修コスト
裁判所,最高裁判所,司法修習生研修委託費,1,①/②/⑤,100%,1,最高裁判所に係る司法修習生研修委託費。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,最高裁判所,国家公務員共済組合負担金,319,①/②/⑤,100%,319,最高裁判所に係る国家公務員共済組合負担金（使用者負担）。司法（①②⑤）の遂行の執行職員に係る法定社会保険コスト（人件費按分：同項非人件費残存率100%）
裁判所,最高裁判所,基礎年金等国家公務員共済組合負担金,82,①/②/⑤,100%,82,最高裁判所に係る基礎年金等国家公務員共済組合負担金（使用者負担）。司法（①②⑤）の遂行の執行職員に係る国民年金相当部分の法定コスト（人件費按分：同項非人件費残存率100%）
裁判所,最高裁判所,育児休業手当金等国家公務員共済組合負担金,2,①/②/⑤,100%,2,最高裁判所に係る育児休業手当金等国家公務員共済組合負担金。司法（①②⑤）の遂行の執行職員の育休取得に伴う法定コスト（人件費按分：同項非人件費残存率100%）
裁判所,最高裁判所,国有資産所在市町村交付金,2,①/②/⑤,100%,2,最高裁判所に係る国有資産所在市町村交付金。司法（①②⑤）の遂行に使用する国有施設の代替的固定資産税相当額
裁判所,最高裁判所,修習資金貸与金,13,①/②/⑤,100%,13,最高裁判所に係る修習資金貸与金。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,下級裁判所,職員基本給,1308,①/②/⑤,100%,1308,下級裁判所に係る職員基本給。司法（①②⑤）の遂行であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
裁判所,下級裁判所,職員諸手当,667,①/②/⑤,100%,667,下級裁判所に係る職員諸手当（扶養・通勤・地域等）。司法（①②⑤）の遂行の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
裁判所,下級裁判所,超過勤務手当,36,①/②/⑤,100%,36,下級裁判所に係る超過勤務手当。司法（①②⑤）の遂行の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
裁判所,下級裁判所,委員手当,67,①/②/⑤,100%,67,下級裁判所に係る委員手当。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,下級裁判所,非常勤職員手当,5,①/②/⑤,100%,5,下級裁判所に係る非常勤職員手当。司法（①②⑤）の遂行における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
裁判所,下級裁判所,短時間勤務職員給与,8,①/②/⑤,100%,8,下級裁判所に係る短時間勤務職員給与。司法（①②⑤）の遂行の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
裁判所,下級裁判所,職員旅費,1,①/②/⑤,100%,1,下級裁判所に係る職員旅費。司法（①②⑤）の遂行に伴う現地視察・監督・会議出張費
裁判所,下級裁判所,委員等旅費,4,①/②/⑤,100%,4,下級裁判所に係る委員等旅費。司法（①②⑤）の遂行に伴う現地視察・監督・会議出張費
裁判所,下級裁判所,庁費,63,①/②/⑤,100%,63,下級裁判所に係る庁費。司法（①②⑤）の遂行の行政執行を支える事務所経費（消耗品・光熱・雑費等）
裁判所,下級裁判所,情報処理業務庁費,9,①/②/⑤,100%,9,下級裁判所に係る情報処理業務庁費。司法（①②⑤）の遂行に必要なデータ処理・業務システムの維持コスト
裁判所,下級裁判所,法廷等器具整備費,10,①/②/⑤,100%,10,下級裁判所に係る法廷等器具整備費。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,検察審査費,検察審査員旅費,2,①/②/⑤,100%,2,検察審査費に係る検察審査員旅費。司法（①②⑤）の遂行に伴う現地視察・監督・会議出張費
裁判所,裁判費,諸謝金,18,①/②/⑤,100%,18,裁判費に係る諸謝金。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,裁判費,裁判旅費,1,①/②/⑤,100%,1,裁判費に係る裁判旅費。司法（①②⑤）の遂行に伴う現地視察・監督・会議出張費
裁判所,裁判費,委員等旅費,11,①/②/⑤,100%,11,裁判費に係る委員等旅費。司法（①②⑤）の遂行に伴う現地視察・監督・会議出張費
裁判所,裁判費,証人等旅費,2,①/②/⑤,100%,2,裁判費に係る証人等旅費。司法（①②⑤）の遂行に伴う現地視察・監督・会議出張費
裁判所,裁判費,裁判庁費,262,①/②/⑤,100%,262,裁判費に係る裁判庁費。司法（①②⑤）の遂行の行政執行を支える事務所経費（消耗品・光熱・雑費等）
裁判所,裁判費,民事裁判発送料,20,①/②/⑤,100%,20,裁判費に係る民事裁判発送料。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,裁判費,刑事裁判等特別送達料,7,①/②/⑤,100%,7,裁判費に係る刑事裁判等特別送達料。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,裁判費,少年補導委託費,1,①/②/⑤,100%,1,裁判費に係る少年補導委託費。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,裁判費,賠償償還及払戻金,3,①/②/⑤,100%,3,裁判費に係る賠償償還及払戻金。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,裁判費,刑事補償金,4,①/②/⑤,100%,4,裁判費に係る刑事補償金。司法（①②⑤）の遂行の遂行に伴う経費
裁判所,裁判所施設費,施設施工旅費,1,①/②/⑤,100%,1,裁判所施設費に係る施設施工旅費。司法機能（①②⑤）の遂行施設の整備に伴う現地視察・監督・会議出張費
裁判所,裁判所施設費,施設施工庁費,2,①/②/⑤,100%,2,裁判所施設費に係る施設施工庁費。司法機能（①②⑤）の遂行施設の整備の拠点施設整備工事を管理するためのコスト
裁判所,裁判所施設費,施設整備費,117,①/②/⑤,100%,117,裁判所施設費に係る施設整備費。司法機能（①②⑤）の遂行施設の整備の遂行に伴う経費
会計検査院,会計検査院,職員基本給,65,③,100%,65,会計検査院に係る職員基本給。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）であり、その執行職員の人件費は政府が直接担う業務コストとして同一の正当性をもつ（人件費按分：同項非人件費残存率100%）
会計検査院,会計検査院,職員諸手当,37,③,100%,37,会計検査院に係る職員諸手当（扶養・通勤・地域等）。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）の執行人件費の一部として基本給と同様に正当化される（人件費按分：同項非人件費残存率100%）
会計検査院,会計検査院,超過勤務手当,9,③,100%,9,会計検査院に係る超過勤務手当。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）の繁忙期・緊急時対応における時間外労働コスト（人件費按分：同項非人件費残存率100%）
会計検査院,会計検査院,非常勤職員手当,1,③,100%,1,会計検査院に係る非常勤職員手当。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）における専門的・期間限定業務の外部人材コスト（人件費按分：同項非人件費残存率100%）
会計検査院,会計検査院,短時間勤務職員給与,1,③,100%,1,会計検査院に係る短時間勤務職員給与。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）の補助的・時限的業務を担う非常勤・短時間職員への給与（人件費按分：同項非人件費残存率100%）
会計検査院,会計検査院,退職手当,7,③,100%,7,会計検査院に係る退職手当。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）の執行を長期的に支える人材の雇用終了時の義務的給付（人件費按分：同項非人件費残存率100%）
会計検査院,会計検査院,児童手当,1,③,100%,1,会計検査院に係る児童手当。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）の執行職員に対する法律に基づく児童手当給付（人件費按分：同項非人件費残存率100%）
会計検査院,会計検査院,検査旅費,4,③,100%,4,会計検査院に係る検査旅費。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）に伴う現地視察・監督・会議出張費
会計検査院,会計検査院,庁費,2,③,100%,2,会計検査院に係る庁費。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
会計検査院,会計検査院,研修所庁費,1,③,100%,1,会計検査院に係る研修所庁費。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）の行政執行を支える事務所経費（消耗品・光熱・雑費等）
会計検査院,会計検査院,会計検査情報処理業務庁費,4,③,100%,4,会計検査院に係る会計検査情報処理業務庁費。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）に必要なデータ処理・業務システムの維持コスト
会計検査院,会計検査院,会計検査活動費,2,③,100%,2,会計検査院に係る会計検査活動費。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）の遂行に伴う経費
会計検査院,会計検査院,公共施設等維持管理運営費,8,③,100%,8,会計検査院に係る公共施設等維持管理運営費。政府支出の独立的監査（利益相反なき第三者機関が歳出の合法性・効率性を検査する統治機能③）のために整備した施設の継続的維持・運営コスト
